Lp.;NieruchomoúÊ;Numer;Zmiana od;Liczba mieszkaÒcÛw;Stawka
3186;63-300 Pleszew, M. Kar≥owicza 8;911/2023;2023.06.01;2;76
3187;63-300 Pleszew, M. Kar≥owicza 9;1257/2020;2020.08.01;2;76
3188;63-300 Pleszew, M. Kar≥owicza 10;;2019.02.01;5;195
3189;63-300 Pleszew, M. Kar≥owicza 12;;2019.02.01;4;156
3190;63-300 Pleszew, M. Kar≥owicza 14;2384/2025;2026.01.01;4;156
3191;63-300 Pleszew, M. Kar≥owicza 15;1614/2025;2025.07.01;3;117
3192;63-300 Pleszew, M. KAR£OWICZA 16;832/2022;2022.06.01;6;234
3193;63-300 Pleszew, M. Kar≥owicza 17;718/2022;2022.05.01;2;78
3194;63-300 Pleszew, M. Kar≥owicza 18;1238/2025;2025.05.01;4;156
3195;63-300 Pleszew, M. KAR£OWICZA 18/1;1235/2025;2025.05.01;1;39
3196;63-300 Pleszew, M. Kar≥owicza 20;390/2024;2024.04.01;2;78
3197;63-300 Pleszew, M. Kar≥owicza 21;;2019.02.01;3;117
3198;63-300 Pleszew, M. Reja 2/1-25;2468/2025;2026.01.01;38;1482
3199;63-300 Pleszew, M. Reja 2/26-50;1600/2025;2025.07.01;37;1443
3200;63-300 Pleszew, M. Reja 3;2438/2025;2026.01.01;51;1989
3201;63-300 Pleszew, M. Reja 4/1-25;1718/2025;2025.08.01;46;1794
3202;63-300 Pleszew, M. Reja 4/26-50;1999/2025;2025.10.01;44;1716
3203;63-300 Pleszew, M. Reja 5;2128/2025;2025.11.01;47;1833
3204;63-300 Pleszew, M. Reja 6/1-25;1852/2025;2025.09.01;35;1365
3205;63-300 Pleszew, M. Reja 6/9;1630/2025;2025.08.01;1;39
3206;63-300 Pleszew, M. Reja 6/26-50;2127/2025;2025.11.01;37;1443
3207;63-300 Pleszew, M. Reja 7;1851/2025;2025.09.01;47;1833
3208;63-300 Pleszew, M. REJA 7A;2072/2022;2023.01.01;1;39
3209;63-300 Pleszew, M. Reja 8;2126/2025;2025.11.01;82;3198
3210;63-300 Pleszew, M. Reja 10;2125/2025;2025.11.01;84;3276
3211;63-300 Pleszew, Makowskiego 1;;2020.01.01;4;156
3212;63-300 Pleszew, Makowskiego 2;1456/2021;2021.08.01;6;234
3213;63-300 Pleszew, Makowskiego 4;;2019.02.01;6;234
3214;63-300 Pleszew, Makowskiego 5;1385/2025;2025.08.01;2;78
3215;63-300 Pleszew, Makowskiego 6;2160/2025;2026.01.01;4;156
3216;63-300 Pleszew, Makowskiego 7;1627/2025;2025.09.01;2;78
3217;63-300 Pleszew, Makowskiego 8;;2019.02.01;4;156
3218;63-300 Pleszew, Makowskiego 9;1014/2021;2020.09.01;4;156
3219;63-300 Pleszew, Makowskiego 10;;2019.02.01;2;78
3220;63-300 Pleszew, MAKOWSKIEGO 11;1482/2025;2025.05.01;3;117
3221;63-300 Pleszew, Makowskiego 12;245/2022;2022.01.01;2;78
3222;63-300 Pleszew, Malinie 3;247/2026;2026.01.01;62;2418
3223;63-300 Pleszew, Malinie 4;1425/2025;2025.06.01;43;1677
3224;63-300 Pleszew, Malinie 5;2266/2025;2026.01.01;38;1482
3225;63-300 Pleszew, Malinie 6;248/2026;2026.01.01;38;1482
3226;63-300 Pleszew, Malinie 7;2268/2025;2026.01.01;40;1560
3227;63-300 Pleszew, Malinie 8;1660/2025;2025.08.01;35;1365
3228;63-300 Pleszew, Malinska 58/2;;2019.02.01;2;78
3229;63-300 Pleszew, MaliÒska 1A;;2019.02.01;3;117
3230;63-300 Pleszew, MaliÒska 3;346/2024;2024.03.01;12;468
3231;63-300 Pleszew, MaliÒska 5/2;1470/2022;2022.10.01;8;312
3232;63-300 Pleszew, MaliÒska 6;50/2022;2021.12.01;2;78
3233;63-300 Pleszew, MaliÒska 7;;2020.01.01;1;39
3234;63-300 Pleszew, MALI—SKA 7/1;521/2024;2024.04.01;2;78
3235;63-300 Pleszew, MaliÒska 7/2;;2019.02.01;3;117
3236;63-300 Pleszew, MaliÒska 7/4;698/2024;2024.06.01;1;39
3237;63-300 Pleszew, MaliÒska 7/5;115/2023;2023.01.01;4;156
3238;63-300 Pleszew, MaliÒska 8;;2019.02.01;1;39
3239;63-300 Pleszew, MaliÒska 8;;2019.02.01;3;117
3240;63-300 Pleszew, MaliÒska 9;;2019.02.01;72;2808
3241;63-300 Pleszew, MaliÒska 9A;;2019.02.01;20;780
3242;63-300 Pleszew, MaliÒska 10;;2020.02.01;5;195
3243;63-300 Pleszew, MaliÒska 10/1;1207/2021;2021.06.01;5;195
3244;63-300 Pleszew, MaliÒska 10/3;173/2022;2021.11.01;4;156
3245;63-300 Pleszew, MaliÒska 11A;1513/2023;2023.11.01;2;78
3246;63-300 Pleszew, MaliÒska 11A/2;;2019.02.01;2;78
3247;63-300 Pleszew, MaliÒska 12;2708/2020;2020.08.01;3;117
3248;63-300 Pleszew, MaliÒska 12/2;2382/2025;2026.01.01;5;195
3249;63-300 Pleszew, MaliÒska 13/1;1263/2021;2021.08.01;3;117
3250;63-300 Pleszew, MaliÒska 13A;;2019.02.01;4;156
3251;63-300 Pleszew, MaliÒska 13B;1390/2022;2022.10.01;3;117
3252;63-300 Pleszew, MaliÒska 14;2030/2025;2025.11.01;17;663
3253;63-300 Pleszew, MaliÒska 15;1827/2025;2025.10.01;1;39
3254;63-300 Pleszew, MaliÒska 16;1257/2022;2022.09.01;2;78
3255;63-300 Pleszew, MALI—SKA 18;1345/2025;2025.06.01;4;156
3256;63-300 Pleszew, MaliÒska 20;1682/2025;2025.05.01;3;117
3257;63-300 Pleszew, MaliÒska 20A;1535/2024;2025.01.01;2;76
3258;63-300 Pleszew, MaliÒska 21C;1409/2024;2024.10.01;28;1092
3259;63-300 Pleszew, MaliÒska 22;35/2022;2022.01.01;2;76
3260;63-300 Pleszew, MaliÒska 24/3;506/2023;2023.03.01;1;39
3261;63-300 Pleszew, MaliÒska 24A;;2019.02.01;6;234
3262;63-300 Pleszew, MaliÒska 26;1309/2021;2021.07.01;2;78
3263;63-300 Pleszew, MaliÒska 26A;;2019.02.01;3;117
3264;63-300 Pleszew, MaliÒska 28;3770/2020;2020.12.01;2;78
3265;63-300 Pleszew, MaliÒska 30;2066/2025;2025.11.01;12;468
3266;63-300 Pleszew, MaliÒska 34;1674/2025;2025.08.01;9;351
3267;63-300 Pleszew, MaliÒska 36;;2019.02.01;2;78
3268;63-300 Pleszew, MaliÒska 38;;2019.02.01;3;117
3269;63-300 Pleszew, MaliÒska 40;541/2022;2022.04.01;2;78
3270;63-300 Pleszew, MaliÒska 42;1439/2023;2023.08.01;6;234
3271;63-300 Pleszew, MaliÒska 44;;2019.02.01;4;156
3272;63-300 Pleszew, MALI—SKA 46;1960/2025;2025.10.01;6;234
3273;63-300 Pleszew, MaliÒska 48;1298/2023;2023.09.01;5;195
3274;63-300 Pleszew, MaliÒska 50;;2019.02.01;6;234
3275;63-300 Pleszew, MaliÒska 52;893/2025;2025.01.01;4;152
3276;63-300 Pleszew, MaliÒska 54;164/2021;2021.01.01;2;78
3277;63-300 Pleszew, MaliÒska 55;;2013.06.01;3;117
3278;63-300 Pleszew, MaliÒska 55;2207/2025;2026.01.01;3;117
3279;63-300 Pleszew, MaliÒska 56/1;1076/2023;2023.08.01;3;117
3280;63-300 Pleszew, MALI—SKA 56/2;1110/2023;2023.05.01;1;39
3281;63-300 Pleszew, MaliÒska 56/3;832/2021;2021.05.01;5;195
3282;63-300 Pleszew, MaliÒska 56/4;1387/2025;2025.06.01;2;78
3283;63-300 Pleszew, MaliÒska 58/1;;2020.02.01;3;117
3284;63-300 Pleszew, MaliÒska 58/3;287/2023;2023.01.01;3;117
3285;63-300 Pleszew, MaliÒska 58/4;1585/2023;2023.11.01;7;273
3286;63-300 Pleszew, Marszewska 1;1634/2023;2023.11.01;8;312
3287;63-300 Pleszew, Marszewska 2;;2019.02.01;4;156
3288;63-300 Pleszew, Marszewska 2/2;;2019.02.01;1;39
3289;63-300 Pleszew, Marszewska 2/3;;2019.02.01;3;117
3290;63-300 Pleszew, Marszewska 4;;2019.08.01;4;156
3291;63-300 Pleszew, Marszewska 5/4;824/2025;2025.02.01;7;273
3292;63-300 Pleszew, Marszewska 6;1358/2023;2023.10.01;6;234
3293;63-300 Pleszew, Marszewska 7;;2020.01.01;3;117
3294;63-300 Pleszew, Marszewska 7;593/2023;2023.04.01;3;117
3295;63-300 Pleszew, Marszewska 8;1214/2021;2021.03.01;4;156
3296;63-300 Pleszew, Marszewska 9;175/2024;2024.01.01;1;39
3297;63-300 Pleszew, Marszewska 10;1326/2025;2025.06.01;3;117
3298;63-300 Pleszew, Marszewska 14;1942/2025;2025.10.01;5;195
3299;63-300 Pleszew, Marszewska 14A;892/2025;2025.03.01;4;156
3300;63-300 Pleszew, Marszewska 15;;2020.01.01;1;39
3301;63-300 Pleszew, Marszewska 16;1399/2024;2024.11.01;1;39
3302;63-300 Pleszew, Marszewska 17;;2019.02.01;1;39
3303;63-300 Pleszew, Marszewska 18;;2019.02.01;8;312
3304;63-300 Pleszew, Marszewska 18A;1068/2024;2024.08.01;5;195
3305;63-300 Pleszew, Marszewska 19;1494/2021;2021.05.01;2;78
3306;63-300 Pleszew, Marszewska 20;673/2024;2024.06.01;3;117
3307;63-300 Pleszew, Marszewska 21;;2019.02.01;2;78
3308;63-300 Pleszew, Marszewska 22;1639/2021;2021.11.01;5;195
3309;63-300 Pleszew, Marszewska 23;;2020.05.01;2;78
3310;63-300 Pleszew, Marszewska 24;;2019.02.01;2;78
3311;63-300 Pleszew, Marszewska 25;;2019.02.01;3;117
3312;63-300 Pleszew, Marszewska 26;;2019.02.01;3;117
3313;63-300 Pleszew, Marszewska 27;210/2022;2021.11.01;1;39
3314;63-300 Pleszew, Marszewska 28;547/2023;2023.03.01;1;39
3315;63-300 Pleszew, Marszewska 29;;2019.02.01;6;234
3316;63-300 Pleszew, MARSZEWSKA 31;1115/2023;2023.07.01;1;39
3317;63-300 Pleszew, Marszewska 32;1066/2025;2025.03.01;1;39
3318;63-300 Pleszew, Marszewska 33;;2019.02.01;5;195
3319;63-300 Pleszew, Marszewska 33A;;2019.02.01;2;78
3320;63-300 Pleszew, Marszewska 34;;2019.03.01;3;117
3321;63-300 Pleszew, Marszewska 35;2429/2025;2026.01.01;3;114
3322;63-300 Pleszew, Marszewska 37;1453/2025;2025.07.01;3;117
3323;63-300 Pleszew, MARSZEWSKA 37A;1744/2022;2022.12.01;1;39
3324;63-300 Pleszew, Marszewska 38;1500/2022;2022.10.01;3;117
3325;63-300 Pleszew, Marszewska 38;1292/2023;2023.10.01;6;234
3326;63-300 Pleszew, Marszewska 40;252/2026;2026.01.01;42;1638
3327;63-300 Pleszew, Marszewska 40A;2257/2025;2025.12.01;25;975
3328;63-300 Pleszew, Marszewska 41;;2020.01.01;1;39
3329;63-300 Pleszew, Marszewska 42;758/2021;2020.10.01;2;78
3330;63-300 Pleszew, Marszewska 43;1758/2025;2025.09.01;10;390
3331;63-300 Pleszew, Marszewska 44;;2019.10.01;1;39
3332;63-300 Pleszew, Marszewska 45;;2019.02.01;2;78
3333;63-300 Pleszew, Marszewska 45A;;2019.02.01;2;78
3334;63-300 Pleszew, Marszewska 45B;;2019.02.01;4;156
3335;63-300 Pleszew, Marszewska 45C;923/2023;2023.07.01;2;78
3336;63-300 Pleszew, Marszewska 45D;2027/2025;2025.11.01;2;78
3337;63-300 Pleszew, Marszewska 47A;;2019.02.01;4;156
3338;63-300 Pleszew, Marszewska 47B;;2019.02.01;2;78
3339;63-300 Pleszew, Marszewska 48;;2019.02.01;3;117
3340;63-300 Pleszew, Marszewska 49;2/2026;2026.01.01;3;117
3341;63-300 Pleszew, Marszewska 50;;2019.02.01;2;78
3342;63-300 Pleszew, Marszewska 51;3229/2020;2020.10.01;1;38
3343;63-300 Pleszew, Marszewska 51A;1759/2020;2020.08.01;3;114
3344;63-300 Pleszew, Marszewska 51B;350/2021;2021.02.01;3;117
3345;63-300 Pleszew, Marszewska 52;;2019.02.01;5;195
3346;63-300 Pleszew, Marszewska 53;;2019.02.01;1;39
3347;63-300 Pleszew, Marszewska 54;;2019.02.01;3;117
3348;63-300 Pleszew, MARSZEWSKA 55;1446/2023;2023.11.01;6;234
3349;Pleszew, MARSZEWSKA 55B;1424/2023;2023.11.01;1;39
3350;63-300 Pleszew, Marszewska 56;1343/2024;2024.10.01;6;234
3351;63-300 Pleszew, Marszewska 57A;;2019.02.01;5;195
3352;63-300 Pleszew, Marszewska 58;;2019.02.01;2;78
3353;63-300 Pleszew, Marszewska 60;;2019.02.01;1;39
3354;63-300 Pleszew, Marszewska 62;280/2022;2022.01.01;4;156
3355;63-300 Pleszew, Marszewska 62A;;2019.02.01;2;78
3356;63-300 Pleszew, Marszewska 64;2894/2020;2020.09.01;5;190
3357;63-300 Pleszew, Marszewska 66;715/2023;2023.04.01;5;195
3358;63-300 Pleszew, Marszewska 68;;2019.02.01;2;78
3359;63-300 Pleszew, Mazurska 1;789/2024;2024.07.01;1;39
3360;63-300 Pleszew, Micha≥owskiego 8;;2019.02.01;3;117
3361;63-300 Pleszew, Mieszka I 1 i 1A;250/2026;2026.01.01;208;8112
3362;63-300 Pleszew, Mieszka I 2;2462/2025;2026.01.01;39;1521
3363;63-300 Pleszew, Mieszka I 3;2436/2025;2026.01.01;146;5694
3364;63-300 Pleszew, Mieszka I 4;2002/2025;2025.10.01;82;3198
3365;63-300 Pleszew, Mieszka I 5;2123/2025;2025.11.01;44;1716
3366;63-300 Pleszew, Mieszka I 6;54/2026;2026.01.01;145;5655
3367;63-300 Pleszew, Mieszka I 7;2460/2025;2026.01.01;90;3510
3368;63-300 Pleszew, Mieszka I 8;2434/2025;2026.01.01;80;3120
3369;63-300 Pleszew, Mieszka I 9;2121/2025;2025.11.01;35;1365
3370;63-300 Pleszew, Mieszka I 10;1997/2025;2025.10.01;39;1521
3371;63-300 Pleszew, Mieszka I 11;2458/2025;2026.01.01;100;3900
3372;63-300 Pleszew, Mieszka I 12;2120/2025;2025.11.01;43;1677
3373;63-300 Pleszew, Mieszka I 13;1605/2025;2025.07.01;40;1560
3374;63-300 Pleszew, Mieszka I 14;1606/2025;2025.07.01;70;2730
3375;63-300 Pleszew, Mieszka I 15;2456/2025;2026.01.01;85;3315
3376;63-300 Pleszew, Mieszka I 16;1841/2025;2025.09.01;46;1794
3377;63-300 Pleszew, Mieszka I 17;1840/2025;2025.09.01;75;2925
3378;63-300 Pleszew, Mieszka I 18;1608/2025;2025.07.01;79;3081
3379;63-300 Pleszew, Mieszka I 19/1-20;1110/2025;2025.03.01;53;2067
3380;63-300 Pleszew, Mieszka I 19/21-40;1365/2025;2025.05.01;40;1560
3381;63-300 Pleszew, Mieszka I 21;1366/2025;2025.05.01;45;1755
3382;63-300 Pleszew, Mieszka I 22;2454/2025;2026.01.01;81;3159
3383;63-300 Pleszew, Mieszka I 23;2452/2025;2026.01.01;48;1872
3384;63-300 Pleszew, Mieszka I 24;1492/2025;2025.06.01;48;1872
3385;63-300 Pleszew, Mieszka I 25;744/2025;2025.01.01;51;1989
3386;63-300 Pleszew, M£Y—SKA 1;1457/2023;2023.10.01;1;39
3387;63-300 Pleszew, M≥yÒska 4;1396/2025;2025.06.01;3;117
3388;63-300 Pleszew, M≥yÒska 5;1701/2023;2023.12.01;1;39
3389;63-300 Pleszew, M≥yÒska 5A;;2019.02.01;3;117
3390;63-300 Pleszew, M≥yÒska 7;1129/2024;2024.10.01;4;156
3391;63-300 Pleszew, M≥yÒska 10;;2019.02.01;1;39
3392;63-300 Pleszew, M≥yÒska 12;;2019.02.01;4;156
3393;63-300 Pleszew, M≥yÒska 14;;2019.02.01;7;273
3394;63-300 Pleszew, M≥yÒska 16;;2019.02.01;4;156
3395;63-300 Pleszew, M≥yÒska 18;;2020.03.01;2;78
3396;63-300 Pleszew, M≥yÒska 22;740/2023;2023.03.01;4;156
3397;63-300 Pleszew, M≥yÒska 23;1652/2025;2025.08.01;3;117
3398;63-300 Pleszew, M≥yÒska 24;256/2022;2022.02.01;3;117
3399;63-300 Pleszew, M≥yÒska 26;377/2024;2024.03.01;7;273
3400;63-300 Pleszew, M≥yÒska 28;;2019.02.01;2;78
3401;63-300 Pleszew, M≥yÒska 32;96/2025;2025.01.01;2;78
3402;63-300 Pleszew, M≥yÒska 34;3780/2020;2020.12.01;2;78
3403;63-300 Pleszew, Moniuszki 1;;2019.02.01;3;117
3404;63-300 Pleszew, Moniuszki 2;;2019.02.01;2;78
3405;63-300 Pleszew, Norwida 1;;2019.02.01;4;156
3406;63-300 Pleszew, Norwida 2;131/2023;2023.01.01;4;156
3407;63-300 Pleszew, Norwida 3;1804/2020;2020.08.01;3;114
3408;63-300 Pleszew, Norwida 4;3532/2020;2020.11.01;3;117
3409;63-300 Pleszew, Norwida 5;999/2024;2024.09.01;3;117
3410;63-300 Pleszew, Norwida 6;1109/2024;2024.09.01;3;117
3411;63-300 Pleszew, Norwida 7;;2019.02.01;1;39
3412;63-300 Pleszew, Norwida 8;;2019.02.01;1;39
3413;63-300 Pleszew, Norwida 9;1274/2022;2022.09.01;4;156
3414;63-300 Pleszew, Norwida 10;999/2023;2023.07.01;1;39
3415;63-300 Pleszew, Norwida 11;;2019.02.01;3;117
3416;63-300 Pleszew, Norwida 13;;2019.02.01;5;195
3417;63-300 Pleszew, Nowa 2;1555/2020;2020.08.01;2;76
3418;63-300 Pleszew, Nowa 2A;;2019.02.01;1;39
3419;63-300 Pleszew, Nowa 2B;;2019.02.01;3;117
3420;63-300 Pleszew, Nowa 3;;2019.02.01;3;117
3421;63-300 Pleszew, Nowa 3B;;2019.02.01;4;156
3422;63-300 Pleszew, Nowa 4;;2019.02.01;2;78
3423;63-300 Pleszew, Nowa 4D;17/2024;2024.01.01;3;117
3424;63-300 Pleszew, Nowa 4G;;2020.01.01;2;78
3425;63-300 Pleszew, Nowa 4H;521/2022;2022.04.01;2;78
3426;63-300 Pleszew, Nowa 4I;;2020.01.01;4;156
3427;63-300 Pleszew, Nowa 5;1833/2025;2025.10.01;1;39
3428;63-300 Pleszew, Nowa 6;338/2021;2021.02.01;4;156
3429;63-300 Pleszew, Nowa 6A;;2019.02.01;4;156
3430;63-300 Pleszew, Nowa 7;2590/2020;2020.08.01;2;78
3431;63-300 Pleszew, Nowa 8A;;2019.02.01;1;39
3432;63-300 Pleszew, Nowa 9;;2019.02.01;4;156
3433;63-300 Pleszew, Nowa 9 B;984/2022;2022.07.01;3;117
3434;63-300 Pleszew, Nowa 9C;;2019.02.01;4;156
3435;63-300 Pleszew, Nowa 9D;;2019.02.01;3;117
3436;63-300 Pleszew, Nowa 10;;2019.02.01;4;156
3437;63-300 Pleszew, Nowa 10A;;2019.02.01;1;39
3438;63-300 Pleszew, Nowa 10B;896/2024;2024.08.01;3;117
3439;63-300 Pleszew, Nowa 10C;172/2023;2023.01.01;1;39
3440;63-300 Pleszew, Nowa 11;;2020.01.01;3;117
3441;63-300 Pleszew, NOWA 11A;2043/2022;2023.01.01;1;39
3442;63-300 Pleszew, Nowa 13;644/2021;2021.03.01;5;190
3443;63-300 Pleszew, NOWA 13A;2025/2022;2023.01.01;2;78
3444;63-300 Pleszew, Nowa 13B;;2019.02.01;2;78
3445;63-300 Pleszew, Nowa 14;;2019.02.01;2;78
3446;63-300 Pleszew, Nowa 15;;2019.02.01;2;78
3447;63-300 Pleszew, Nowa 15A;;2020.01.01;1;39
3448;63-300 Pleszew, Nowa 15B;3031/2020;2020.10.01;2;78
3449;63-300 Pleszew, Nowa 20;;2019.02.01;2;78
3450;63-300 Pleszew, Ogrodowa 1A;;2019.02.01;1;39
3451;63-300 Pleszew, Ogrodowa 3;53/2026;2026.01.01;36;1404
3452;63-300 Pleszew, Ogrodowa 11;;2019.02.01;4;156
3453;63-300 Pleszew, Opalowa 1/1;1222/2023;2023.09.01;2;78
3454;63-300 Pleszew, Opalowa 1/2;1135/2023;2023.09.01;3;117
3455;63-300 Pleszew, Opalowa 3/1;993/2023;2023.07.01;3;117
3456;63-300 Pleszew, Opalowa 3/2;1050/2023;2023.07.01;3;117
3457;63-300 Pleszew, Opalowa 8A;1284/2023;2023.10.01;2;78
3458;63-300 Pleszew, Opalowa 8B;1803/2025;2025.10.01;1;39
3459;63-300 Pleszew, Opalowa 9A;;2023.01.01;1;39
3460;63-300 Pleszew, OPALOWA 9B;320/2024;2024.04.01;3;117
3461;63-300 Pleszew, Opalowa 10A;1312/2025;2025.03.01;3;117
3462;63-300 Pleszew, Opalowa 10B;1045/2022;2022.08.01;4;156
3463;63-300 Pleszew, Opalowa 11A;754/2022;2022.06.01;2;78
3464;63-300 Pleszew, Opalowa 11B;726/2022;2022.06.01;3;117
3465;63-300 Pleszew, Opalowa 12A;1819/2022;2023.01.01;5;195
3466;63-300 Pleszew, Opalowa  12B;270/2024;2023.12.01;3;117
3467;63-300 Pleszew, Osiedlowa 1/1;3189/2020;2020.10.01;30;1170
3468;63-300 Pleszew, Osiedlowa 2;1826/2025;2025.09.01;53;2067
3469;63-300 Pleszew, Osiedlowa 4;1930/2025;2025.10.01;52;2028
3470;63-300 Pleszew, PanieÒska 1;1958/2020;2002.08.01;2;76
3471;63-300 Pleszew, PanieÒska 1;1959/2020;2020.08.01;1;38
3472;63-300 Pleszew, PanieÒska 2;;2019.02.01;2;78
3473;63-300 Pleszew, PanieÒska 2;;2019.02.01;1;39
3474;63-300 Pleszew, PanieÒska 3;1211/2024;2024.10.01;2;78
3475;63-300 Pleszew, PanieÒska 3A;;2019.02.01;7;273
3476;63-300 Pleszew, PanieÒska 4;;2019.04.01;2;78
3477;63-300 Pleszew, Piaski 1;1835/2020;2020.08.01;4;156
3478;63-300 Pleszew, Piaski 2;2152/2025;2025.12.01;11;429
3479;63-300 Pleszew, Piaski 3;;2019.02.01;2;78
3480;63-300 Pleszew, Piaski 5;481/2023;2023.03.01;2;76
3481;63-300 Pleszew, Piaski 6;;2019.02.01;6;234
3482;63-300 Pleszew, Piaski 6A;;2019.02.01;3;117
3483;63-300 Pleszew, Piaski 7;;2019.02.01;3;117
3484;63-300 Pleszew, Piaski 8;;2019.02.01;3;117
3485;63-300 Pleszew, Piaski 10;;2019.02.01;1;39
3486;63-300 Pleszew, Piaski 11A;;2019.03.01;2;78
3487;63-300 Pleszew, Piaski 12;2184/2025;2026.01.01;6;228
3488;63-300 Pleszew, Piaski 12A;1661/2023;2023.12.01;3;117
3489;63-300 Pleszew, Piaski 13;671/2021;2021.03.01;5;195
3490;63-300 Pleszew, Piaski 14;74/2023;2023.01.01;6;234
3491;63-300 Pleszew, Piaski 15;;2019.02.01;3;117
3492;63-300 Pleszew, Piaski 15;;2019.02.01;1;39
3493;63-300 Pleszew, Piaski 16;;2019.02.01;3;117
3494;63-300 Pleszew, PIASKI 17;1043/2024;2024.09.01;4;152
3495;63-300 Pleszew, Piaski 18B;866/2023;2023.06.01;2;78
3496;63-300 Pleszew, Piaski 19;1570/2022;2022.11.01;2;78
3497;63-300 Pleszew, Piaski 20;;2019.02.01;4;156
3498;63-300 Pleszew, Piaski 21;;2019.02.01;1;39
3499;63-300 Pleszew, Piaski 22;820/2023;2023.06.01;2;78
3500;63-300 Pleszew, Piaski 23;;2019.02.01;1;39
3501;63-300 Pleszew, Piaski 24;;2019.02.01;2;78
3502;63-300 Pleszew, Piaski 25;1838/2020;2020.08.01;1;38
3503;63-300 Pleszew, Piaski 26A;;2019.02.01;4;156
3504;63-300 Pleszew, Piaski 27;;2019.02.01;3;117
3505;63-300 Pleszew, PIASKI 28;1106/2022;2022.08.01;1;39
3506;63-300 Pleszew, Piaski 29;1711/2023;2023.12.01;3;117
3507;63-300 Pleszew, Piaski 29B;1033/2025;2025.03.01;2;78
3508;63-300 Pleszew, Piaski 30;;2020.01.01;2;78
3509;63-300 Pleszew, Piaski 30A;851/2021;2021.04.01;2;78
3510;63-300 Pleszew, PIASKI 35;1743/2022;2022.11.01;1;39
3511;63-300 Pleszew, Piaski 35A;536/2021;2021.04.01;6;234
3512;63-300 Pleszew, Piaski 36;844/2024;2024.07.01;2;78
3513;63-300 Pleszew, Piaski 37/1;;2019.05.01;2;78
3514;63-300 Pleszew, Piaski 37/2;;2019.07.01;2;78
3515;63-300 Pleszew, Piaski 42;;2019.02.01;2;78
3516;63-300 Pleszew, Piaski 51;1887/2022;2023.01.01;2;78
3517;63-300 Pleszew, Piaski 53;;2019.02.01;4;156
3518;63-300 Pleszew, Piaski 53A;1868/2025;2025.07.01;3;117
3519;63-300 Pleszew, Piaski 57;623/2021;2021.04.01;3;117
3520;63-300 Pleszew, Piaski 59;2599/2020;2020.08.01;2;76
3521;63-300 Pleszew, Piaski 61;558/2024;2024.06.01;3;117
3522;63-300 Pleszew, Piaski 62;675/2024;2024.05.01;3;117
3523;63-300 Pleszew, Piaski 63;1829/2025;2025.09.01;4;156
3524;63-300 Pleszew, Piaski 64;362/2024;2024.04.01;5;190
3525;63-300 Pleszew, Piaski 89A;1067/2024;2024.08.01;10;390
3526;63-300 Pleszew, Piaski 91;107/2025;2025.01.01;1;38
3527;63-300 Pleszew, Piaski 91B;1478/2021;2021.09.01;3;117
3528;63-300 Pleszew, Plac Koúcielny 2/2;1214/2025;2025.04.01;4;156
3529;63-300 Pleszew, Plac Koúcielny 4/1;;2019.02.01;1;39
3530;63-300 Pleszew, Plac Koúcielny 4/2;1667/2021;2021.11.01;2;78
3531;63-300 Pleszew, Plac Koúcielny 4/3;;2019.02.01;1;39
3532;63-300 Pleszew, Plac Koúcielny 5;1099/2023;2023.08.01;1;38
3533;63-300 Pleszew, Plac Koúcielny 6;1100/2023;2023.08.01;3;114
3534;63-300 Pleszew, Plac Koúciuszki 4;495/2021;2021.03.01;3;117
3535;63-300 Pleszew, Plac Koúciuszki 4A;;2019.02.01;4;156
3536;63-300 Pleszew, Plac Koúciuszki 5;;2019.02.01;4;156
3537;63-300 Pleszew, Plac PowstaÒcÛw Wlkp. 2 i 2A;2041/2025;2025.11.01;23;897
3538;63-300 Pleszew, Plac PowstaÒcÛw Wlkp. 3;1429/2025;2025.06.01;9;351
3539;63-300 Pleszew, Plac PowstaÒcÛw Wlkp. 4;;2019.02.01;6;234
3540;63-300 Pleszew, Plac PowstaÒcÛw Wlkp. 6;;2019.08.01;2;78
3541;63-300 Pleszew, Plac PowstaÒcÛw Wlkp. 7;257/2023;2023.01.01;6;234
3542;63-300 Pleszew, Plac PowstaÒcÛw Wlkp. 8;;2019.02.01;1;39
3543;63-300 Pleszew, Plac PowstaÒcÛw Wlkp. 8A;2420/2020;2020.08.01;2;76
3544;63-300 Pleszew, Plac PowstaÒcÛw Wlkp. 9;1817/2025;2025.08.01;6;234
3545;63-300 Pleszew, Plac PowstaÒcÛw Wlkp. 11;1702/2021;2021.11.01;2;78
3546;63-300 Pleszew, Plac PowstaÒcÛw Wlkp. 12/2;209/2022;2022.02.01;4;156
3547;63-300 Pleszew, Plac PowstaÒcÛw Wlkp. 12/3;;2019.02.01;1;39
3548;63-300 Pleszew, Plac PowstaÒcÛw Wlkp. 14;1760/2025;2025.09.01;5;195
3549;63-300 Pleszew, Plac PowstaÒcÛw Wlkp. 14A;1762/2025;2025.09.01;5;195
3550;63-300 Pleszew, Plac Wolnosci im.Jana Pawla II 1;;2019.02.01;2;78
3551;63-300 Pleszew, Plac Wolnoúci im. Jana Paw≥a II 1A;;2019.03.01;3;117
3552;63-300 Pleszew, Plac Wolnoúci im. Jana Paw≥a II 2;;2019.02.01;1;39
3553;63-300 Pleszew, Plac Wolnoúci im. Jana Paw≥a II 3;;2020.03.01;3;117
